>VFG037176(gb|YP_001844723) (plc) phospholipase C [Phospholipase C (VF0470)] [Acinetobacter baumannii ACICU]
>VFG001262(gb|NP_250140) (flhB) flagellar biosynthetic protein FlhB [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1]
>VFG001263(gb|NP_250143) (flhA) flagellar biosynthesis protein FlhA [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1]
>VFG001264(gb|NP_250144) (flhF) flagellar biosynthesis protein FlhF [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1]
>VFG001265(gb|NP_250145) (fleN) flagellar synthesis regulator FleN [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1]
>VFG001266(gb|NP_252912) (pchI) ABC transporter ATP-binding protein [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1]
>VFG001267(gb|NP_252913) (pchH) ABC transporter ATP-binding protein [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1]
>VFG001268(gb|NP_252914) (pchG) pyochelin biosynthetic protein PchG [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1]
>VFG002057(gb|NP_248761) (tagR) type IV secretion associated protein TagR, positively regulates PpkA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002058(gb|NP_248762) (tagS) type IV secretion associated protein TagS, forming a stable inner membrane complex with TagT [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002059(gb|NP_248763) (tagT) type six secretion associated protein TagT, ATP-binding component of ABC transporter [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002060(gb|NP_248764) (ppkA) serine/threonine protein kinase PpkA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002061(gb|NP_248765) (pppA) Pseudomonas protein phosphatase PppA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002062(gb|NP_248766) (tagF/pppB) Pseudomonas protein phosphatase PppB [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002063(gb|NP_248767) (icmF1/tssM1) type VI secretion system protein IcmF1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002064(gb|NP_248768) (dotU1) type VI secretion system protein DotU [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002065(gb|NP_248769) (hsiJ1) type VI secretion system hcp secretion island protein HsiJ1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002066(gb|NP_248770) (lip1) lipoprotein [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002067(gb|NP_248771) (fha1) type VI secretion system forkhead-associated protein Fha1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002068(gb|NP_248772) (hsiA1) type VI secretion system hcp secretion island protein HsiA1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002069(gb|NP_248773) (hsiB1/vipA) type VI secretion system tubule-forming protein VipA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002070(gb|NP_248774) (hsiC1/vipB) type VI secretion system tubule-forming protein VipB [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002071(gb|NP_248775) (hcp1) type VI secretion system substrate Hcp1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002072(gb|NP_248776) (hsiE1) type VI secretion system hcp secretion island protein HsiE1, interacting with HsiB1 to form a novel subcomplex of the T6SS [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002073(gb|NP_248777) (hsiF1) type VI secretion system hcp secretion island protein HsiF1, a gp25-like protein, but not exhibit lysozyme activity [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002074(gb|NP_248778) (hsiG1) type VI secretion system hcp secretion island protein HsiG1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002075(gb|NP_248779) (hsiH1) type VI secretion system hcp secretion island protein HsiH1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002076(gb|NP_248780) (clpV1) type VI secretion system AAA+ family ATPase [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG002077(gb|NP_248781) (vgrG1a) type VI secretion system substrate VgrG1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]
>VFG014148(gb|NP_249768) (flgB) flagellar basal body rod protein FlgB [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014304(gb|NP_249784) (fleI/flag) flagellar protein FlaG [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014330(gb|NP_249786) (fliS) flagellar protein FliS [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014343(gb|NP_249787) (fleP) flagellar protein FliT [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014369(gb|NP_249789) (fleS) two-component sensor [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014473(gb|NP_250132) (fliK) flagellar hook-length control protein FliK [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014486(gb|NP_250133) (fliL) flagellar basal body protein FliL [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014629(gb|NP_250146) (fliA) flagellar biosynthesis sigma factor FliA [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014642(gb|NP_252040) (flgA) flagellar basal body P-ring biosynthesis protein FlgA [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014655(gb|NP_252041) (flgM) negative regulator of flagellin synthesis [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014668(gb|NP_252042) (flgN) flagella synthesis protein FlgN [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014681(gb|NP_253640) (motB) flagellar motor protein [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014694(gb|NP_253641) (motA) flagellar motor protein [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014707(gb|NP_250151) (motC) flagellar motor protein [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014720(gb|NP_250152) (motD) flagellar motor protein [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014733(gb|NP_252216) (motY) probable outer membrane protein precursor [Deoxyhexose linking sugar, 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1]
>VFG014893(gb|NP_254009) (algC) phosphomannomutase AlgC [Alginate biosynthesis (CVF522)] [Pseudomonas aeruginosa PAO1]
>VFG014950(gb|NP_249457) (mucD) serine protease MucD precursor [Alginate regulation (CVF523)] [Pseudomonas aeruginosa PAO1]
>VFG014984(gb|NP_253136) (algW) AlgW protein [Alginate regulation (CVF523)] [Pseudomonas aeruginosa PAO1]
>VFG014997(gb|NP_252722) (mucE) small envelope protein MucE [Alginate regulation (CVF523)] [Pseudomonas aeruginosa PAO1]
>VFG015000(gb|NP_252339) (mucP) metalloprotease protease [Alginate regulation (CVF523)] [Pseudomonas aeruginosa PAO1]
>VFG015045(gb|NP_249821) (rhlC) rhamnosyltransferase 2 [Rhamnolipid biosynthesis (CVF524)] [Pseudomonas aeruginosa PAO1]
>VFG015165(gb|YP_792285) (exoU) type III secretion system effector ExoU, phospholipase A2 activity [TTSS (VF0083)] [Pseudomonas aeruginosa UCBPP-PA14]
>VFG015503(gb|NP_252899) (phzA1) phenazine biosynthesis protein PhzA [Phenazines biosynthesis (CVF536)] [Pseudomonas aeruginosa PAO1]
>VFG015506(gb|NP_252900) (phzB1) phenazine biosynthesis protein PhzB [Phenazines biosynthesis (CVF536)] [Pseudomonas aeruginosa PAO1]
>VFG015509(gb|NP_252901) (phzC1) phenazine biosynthesis protein PhzC [Phenazines biosynthesis (CVF536)] [Pseudomonas aeruginosa PAO1]
>VFG015512(gb|NP_252902) (phzD1) phenazine biosynthesis protein PhzD, isochorismatase  [Phenazines biosynthesis (CVF536)] [Pseudomonas aeruginosa PAO1]
>VFG015515(gb|NP_252903) (phzE1) phenazine biosynthesis protein PhzE [Phenazines biosynthesis (CVF536)] [Pseudomonas aeruginosa PAO1]
>VFG015518(gb|NP_252904) (phzF1) phenazine biosynthesis protein PhzF, isomerase [Phenazines biosynthesis (CVF536)] [Pseudomonas aeruginosa PAO1]
>VFG015521(gb|NP_252906) (phzG1) phenazine biosynthesis protein PhzG, pyridoxamine 5'-phosphate oxidase [Phenazines biosynthesis (CVF536)] [Pseudomonas aeruginosa PAO1]
>VFG015551(gb|NP_248741) (phzH) phenazine-modifying enzyme [Phenazines biosynthesis (CVF536)] [Pseudomonas aeruginosa PAO1]
>VFG015950(gb|NP_251075) (pvdQ) 3-oxo-C12-homoserine lactone acylase PvdQ [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG015973(gb|NP_251082) (pvdP) tyrosinase required for pyoverdine maturation  [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG015983(gb|NP_251083) (pvdM) dipeptidase precursor [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG015994(gb|NP_251084) (pvdN) pyoverdine biosynthesis protein PvdN [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG016005(gb|NP_251085) (pvdO) pyoverdine biosynthesis protein PvdO [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG016016(gb|NP_251086) (pvdF) pyoverdine synthetase F [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG016038(gb|NP_251090) (pvdJ) pyoverdine biosynthesis protein PvdJ [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG016041(gb|NP_251092) (pvdI) peptide synthase [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG016046(gb|NP_251103) (pvdH) diaminobutyrate-2-oxoglutarate aminotransferase PvdH [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG016058(gb|NP_251114) (pvdL) peptide synthase PvdL [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG016069(gb|NP_251115) (pvdG) pyoverdine biosynthesis protein PvdG [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG041010(gb|NP_248760) (tagQ) type VI secretiona ssociated protein TagQ, outer membrane lipoprotein [HSI-1 (Hcp-secretion island 1) (SS178)] [Pseudomonas aeruginosa PAO1]
>VFG041011(gb|NP_248785) (vgrG1b) type VI secretion system substrate VgrG1b [HSI-1 (Hcp-secretion island 1) (SS178)] [Pseudomonas aeruginosa PAO1]
>VFG041030(gb|NP_250535) (tse1) type VI secretion system effector Tse1, peptidoglycanhydrolase [HSI-1 (Hcp-secretion island 1) (SS178)] [Pseudomonas aeruginosa PAO1]
>VFG041046(gb|NP_251392) (tse2) type VI secretion system effector Tse2 [HSI-1 (Hcp-secretion island 1) (SS178)] [Pseudomonas aeruginosa PAO1]
>VFG041047(gb|NP_252174) (tse3) type VI secretion system effector Tse3, glycoside hydrolase  [HSI-1 (Hcp-secretion island 1) (SS178)] [Pseudomonas aeruginosa PAO1]
>VFG042140(gb|NP_252531) (spcS) chaperone for exoS [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1]
>VFG042211(gb|YP_792284) (spcU) chaperone for exoU [TTSS (VF0083)] [Pseudomonas aeruginosa UCBPP-PA14]
>VFG044079(gb|NP_250944) (pvcA) paerucumarin biosynthesis protein PvcA [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG044080(gb|NP_250945) (pvcB) paerucumarin biosynthesis protein PvcB [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG044081(gb|NP_250946) (pvcC) paerucumarin biosynthesis protein PvcC [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG044082(gb|NP_250947) (pvcD) paerucumarin biosynthesis protein PvcD [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG044083(gb|NP_250948) (ptxR) transcriptional regulator PtxR [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG044088(gb|NP_251102) (mbtH-like) MbtH-like protein from the pyoverdine cluster [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]
>VFG049835(gb|YP_001349986.1) (exlA) hemolysin [Exolysin (VF0582)] [Pseudomonas aeruginosa PA7]
>VFG049843(gb|YP_001349985.1) (exlB) hemolysin activator protein [Exolysin (VF0582)] [Pseudomonas aeruginosa PA7]
>VFG039753(gb|YP_067402) (rvhB1) type IV secretion system protein [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG039793(gb|YP_067147) (rvhB2) type IV secretion system protein [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG039832(gb|YP_067004) (rvhB3) type IV secretion system protein VirB3 [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG039872(gb|YP_067003) (rvhB4a) type IV secretion system ATPase VirB4 [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG039912(gb|YP_067709) (rvhB4b) type IV secretion system protein VirB4 precursor [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG039952(gb|YP_067002) (rvhB6a) VirB6-like protein of the type IV secretion system [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG039991(gb|YP_067001) (rvhB6b) VirB6-like protein of the type IV secretion system [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040031(gb|YP_067000) (rvhB6c) VirB6-like protein of the type IV secretion system [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040070(gb|YP_066999) (rvhB6d) VirB6-like protein of the type IV secretion system [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040108(gb|YP_066998) (rvhB6e) VirB6-like protein of the type IV secretion system [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040182(gb|YP_067240) (rvhB8a) VirB8-like protein of type IV secretion system [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040222(gb|YP_067242) (rvhB8b) VirB8-like protein of the Type IV secretion system [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040262(gb|YP_067239) (rvhB9a) type IV secretion system protein VirB9-like conjugal transfer protein precursor [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040302(gb|YP_067243) (rvhB9b) VirB9-like protein precursor of the type IV secretion system [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040342(gb|YP_067244) (rvhB10) VirB10-like protein of the type IV secretion system [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040382(gb|YP_067245) (rvhB11) type IV secretion system ATPase VirB11 [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040422(gb|YP_067246) (rvhD4) type IV secretion system component VirD4 [Rvh T4SS (VF0488)] [Rickettsia typhi str. Wilmington]
>VFG040466(gb|YP_001495347) (ompA) surface cell antigen 0 (Sca0), autotransporter  [rOmpA/Sca0 (VF0492)] [Rickettsia rickettsii str. Sheila Smith]
>VFG040507(gb|YP_067640) (ompB) outer membrane protein OmpB [rOmpB/Sca5 (VF0493)] [Rickettsia typhi str. Wilmington]
>VFG040545(gb|YP_066986) (sca1) cell surface antigen Sca1 [Sca1 (VF0498)] [Rickettsia typhi str. Wilmington]
>VFG040585(gb|YP_067752) (adr1) outer-membrane protein Adr1 [Adr1 (VF0496)] [Rickettsia typhi str. Wilmington]
>VFG040625(gb|YP_067753) (adr2) outer-membrane protein Adr2 [Adr2 (VF0497)] [Rickettsia typhi str. Wilmington]
>VFG040665(gb|YP_067439) (sca4) cell surface antigen Sca4 [Sca4 (VF0502)] [Rickettsia typhi str. Wilmington]
>VFG040705(gb|YP_067664) (tlyC) hemolysin C [TlyC (VF0489)] [Rickettsia typhi str. Wilmington]
>VFG040745(gb|YP_067537) (pat1) patatin-like phospholipase [Phospholipase A2 (VF0494)] [Rickettsia typhi str. Wilmington]
>VFG040767(gb|YP_067473) (pat2) esterase of alpha/beta hydrolase family [Phospholipase A2 (VF0494)] [Rickettsia typhi str. Wilmington]
>VFG040807(gb|YP_067744) (pld) phospholipase D [Pld (VF0491)] [Rickettsia typhi str. Wilmington]
>VFG040815(gb|NP_360546) (rickA) WASP, N-WASP, MENA proteins [RickA (VF0490)] [Rickettsia conorii str. Malish 7]
>VFG040863(gb|YP_067021) (sca2) cell surface antigen Sca2 [Sca2 (VF0495)] [Rickettsia typhi str. Wilmington]
>VFG000423(gb|NP_458730) (vexE) Vi polysaccharide export protein VexE [Vi antigen (VF0101)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
>VFG000424(gb|NP_458731) (vexD) Vi polysaccharide export inner-membrane protein VexD [Vi antigen (VF0101)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
>VFG000425(gb|NP_458732) (vexC) Vi polysaccharide export ATP-binding protein VexC [Vi antigen (VF0101)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
>VFG000426(gb|NP_458733) (vexB) Vi polysaccharide export inner-membrane protein (ABC-2 type transporter) VexB [Vi antigen (VF0101)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
>VFG000427(gb|NP_458734) (vexA) Vi polysaccharide export protein VexA [Vi antigen (VF0101)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
>VFG000428(gb|NP_458735) (tviE) Vi polysaccharide biosynthesis protein TviE, Glycosyl transferases group 1 [Vi antigen (VF0101)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
>VFG000429(gb|NP_458738) (tviD) Vi polysaccharide biosynthesis protein TviD [Vi antigen (VF0101)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
>VFG000430(gb|NP_458739) (tviC) Vi polysaccharide biosynthesis protein, epimerase TviC [Vi antigen (VF0101)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
>VFG000431(gb|NP_458740) (tviB) Vi polysaccharide biosynthesis protein, UDP-glucose/GDP-mannose dehydrogenase TviB [Vi antigen (VF0101)] [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
>VFG000433(gb|NP_490508) (pefD) plasmid-encoded fimbriae chaperone protein PefD [Pef (VF0104)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000434(gb|NP_490509) (pefC) plasmid-encoded fimbriae usher protein PefC [Pef (VF0104)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000435(gb|NP_490510) (pefA) plasmid-encoded fimbriae major subunit PefA [Pef (VF0104)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000436(gb|NP_490511) (pefB) plasmid-encoded fimbriae regulatory protein PefB [Pef (VF0104)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000438(gb|NP_490528) (spvC) type III secretion system effector SpvC, phosphothreonine lyase [TTSS-2 translocated effectors (CVF035)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000439(gb|NP_490529) (spvB) type III secretion system effector SpvB, ADP-ribosylation activity [SpvB (VF0107)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000442(gb|NP_490501) (rck) resistance to complement killing [Rck (VF0108)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000444(gb|NP_459539) (fimI) fimbrial protein internal segment [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000445(gb|NP_459540) (fimC) chaperone protein FimC [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000446(gb|NP_459541) (fimD) usher protein FimD [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000447(gb|NP_459542) (fimH) type I fimbriae minor fimbrial subunit FimH, adhesin [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000448(gb|NP_459543) (fimF) type I fimbriae adaptor protein FimF [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000452(gb|NP_462537) (lpfE) long polar fimbrial minor subunit LpfE, adhesin [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000453(gb|NP_462538) (lpfD) long polar fimbrial protein LpfD [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000454(gb|NP_462539) (lpfC) long polar fimbrial usher protein LpfC [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000455(gb|NP_462540) (lpfB) long polar fimbrial chaperone protein LpfB [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000456(gb|NP_462541) (lpfA) long polar fimbria protein LpfA [Lpf (VF0105)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000457(gb|NP_460114) (csgB) minor curlin subunit precursor, curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000458(gb|NP_460115) (csgA) curlin major subunit CsgA [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000459(gb|NP_460116) (csgC) curli assembly protein CsgC [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000460(gb|NP_460112) (csgE) curli production assembly/transport protein CsgE [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000461(gb|NP_460111) (csgF) curli production assembly/transport protein CsgF [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000462(gb|NP_460110) (csgG) curli production assembly/transport protein CsgG [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000463(gb|NP_460019) (sodCI) Gifsy-2 prophage: superoxide dismutase precursor (Cu-Zn) [SodCI (VF0109)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000464(gb|NP_461011) (sopA) type III secretion system effector SopA, E3 ubiquitin ligase [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000465(gb|NP_460064) (sopB/sigD) type III secretion system effector SopB, phosphoinositide phosphatase [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000466(gb|NP_461866) (sopD) type III secretion system effector SopD [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000467(gb|NP_460811) (sopE2) type III secretion system effector SopE2, guanine nucleotide exchange factor [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000468(gb|NP_461184) (sspH2) type III secretion system effector SspH2, E3 ubiquitin ligase [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000469(gb|NP_459778) (slrP) type III secretion system effector SlrP, E3 ubiquitin ligase [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000470(gb|NP_460194) (sifA) type III secretion system effector SifA, N-terminal SKIP-binding domain, C-terminal guanine nucleotide exchange factor activity [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000471(gb|NP_460590) (sseJ) type III secretion system effector SseJ, glycerophospholipid:cholesterol acyltransferase [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000476(gb|AAG03023) (grvA) gifsy-2 related virulence gene [GrvA (VF0110)] [Salmonella enterica (serovar typhimurium)]
>VFG000494(gb|NP_460358) (spiC/ssaB) type III secretion system protein SsaB [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000495(gb|NP_460359) (ssaC) type III secretion system secretin SsaC [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000496(gb|NP_460360) (ssaD) type III secretion system outer MS ring protein SsaD [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000497(gb|NP_460361) (ssaE) chaperone for sseB [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000498(gb|NP_460362) (sseA) chaperone for sseB and sseD [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000499(gb|NP_460363) (sseB) type III secretion system effector SseB [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000500(gb|NP_460364) (sscA) chaperone for sseC [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000501(gb|NP_460365) (sseC) type III secretion system hydrophilic translocator, pore protein SseC [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000502(gb|NP_460366) (sseD) type III secretion system hydrophilic translocator, pore protein SseD [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000503(gb|NP_460367) (sseE) type III secretion system effector SseE [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000504(gb|NP_460368) (sscB) chaperone for sseF [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000505(gb|NP_460369) (sseF) type III secretion system effector SseF [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000506(gb|NP_460370) (sseG) type III secretion system effector SseG [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000507(gb|NP_460371) (ssaG) type III secretion system needle filament protein SsaG [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000508(gb|NP_460372) (ssaH) type III secretion system protein SsaH [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000509(gb|NP_460373) (ssaI) type III secretion system inner rod protein SsaI [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000510(gb|NP_460374) (ssaJ) type III secretion system inner MS ring protein SsaJ [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
>VFG000511(gb|NP_460376) (ssaK) type III secretion system stator SsaK [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
